iter	Passed	Remaining
0	1	137
1	2	116
2	3	107
3	4	98
4	5	95
5	6	94
6	7	93
7	7	91
8	8	90
9	9	89
10	10	87
11	11	86
12	12	86
13	13	85
14	15	85
15	15	83
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	27	74
27	28	73
28	30	73
29	31	72
30	32	71
31	33	71
32	34	70
33	36	69
34	37	68
35	37	67
36	38	66
37	39	64
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	57	45
56	58	44
57	59	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	65	37
64	66	36
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	84	18
82	85	17
83	86	16
84	87	15
85	87	14
86	89	13
87	90	12
88	91	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	97	5
95	98	4
96	99	3
97	100	2
98	100	1
99	101	0
